orderid,cashier,saledate,total,customerid,ticketcode,date,time,slot,room,film,slot type,ticket type,ticket price,popcorn,DOB,gender,address,Website,job,industry,age,norm_film,matched_title,genres
10006052019B0225,emp002,2019-05-06 16:40:43,90000.0,0000000014,20074925,2019-05-06,18:15:00,G04,3,AVENGERS: HỒI KẾT,ĐƠN,Thành viên,45000,0,1999-04-18,Nữ,Thanh Khê,KH0104|0345,student,computer,19.0,AVENGERS: HOI KET,AVENGERS: HOI KET,"Action,Adventure,Drama,Sci-Fi"
10006052019B0225,emp002,2019-05-06 16:40:43,90000.0,0000000014,20074924,2019-05-06,18:15:00,G03,3,AVENGERS: HỒI KẾT,ĐƠN,Thành viên,45000,0,1999-04-18,Nữ,Thanh Khê,KH0104|0345,student,computer,19.0,AVENGERS: HOI KET,AVENGERS: HOI KET,"Action,Adventure,Drama,Sci-Fi"
10022052019B0167,emp011,2019-05-22 20:30:28,90000.0,0000000034,20097042,2019-05-22,20:45:00,E04,2,JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),ĐƠN,Thành viên,45000,0,1998-04-16,Nam,Cẩm Lệ,KH0104|0333,student,health service,20.0,JOHN WICK 3: CHUAN BI CHIEN TRANH (C18),JOHN WICK 3: CHUAN BI CHIEN TRANH,"Action,Crime,Thriller"
10022052019B0167,emp011,2019-05-22 20:30:28,90000.0,0000000034,20097041,2019-05-22,20:45:00,E03,2,JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),ĐƠN,Thành viên,45000,0,1998-04-16,Nam,Cẩm Lệ,KH0104|0333,student,health service,20.0,JOHN WICK 3: CHUAN BI CHIEN TRANH (C18),JOHN WICK 3: CHUAN BI CHIEN TRANH,"Action,Crime,Thriller"
10130052019B0141,emp005,2019-05-30 19:28:44,90000.0,0000000034,20106761,2019-05-30,19:30:00,F04,1,NGÔI ĐỀN KỲ QUÁI (C18),ĐƠN,Thành viên,45000,0,1998-04-16,Nam,Cẩm Lệ,KH0104|0333,student,health service,20.0,NGOI ĐEN KY QUAI (C18),NGOI DEN KY QUAI,"Comedy,Horror"
10130052019B0141,emp005,2019-05-30 19:28:44,90000.0,0000000034,20106757,2019-05-30,19:30:00,F03,1,NGÔI ĐỀN KỲ QUÁI (C18),ĐƠN,Thành viên,45000,0,1998-04-16,Nam,Cẩm Lệ,KH0104|0333,student,health service,20.0,NGOI ĐEN KY QUAI (C18),NGOI DEN KY QUAI,"Comedy,Horror"
10122052019B0056,emp007,2019-05-22 19:26:43,90000.0,0000000051,20096948,2019-05-22,19:40:00,E11,4,JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),ĐƠN,Thành viên,45000,0,1993-12-16,Nam,Thanh Khê,KH0104|0255,blue collar,economics,25.0,JOHN WICK 3: CHUAN BI CHIEN TRANH (C18),JOHN WICK 3: CHUAN BI CHIEN TRANH,"Action,Crime,Thriller"
10122052019B0056,emp007,2019-05-22 19:26:43,90000.0,0000000051,20096947,2019-05-22,19:40:00,E10,4,JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),ĐƠN,Thành viên,45000,0,1993-12-16,Nam,Thanh Khê,KH0104|0255,blue collar,economics,25.0,JOHN WICK 3: CHUAN BI CHIEN TRANH (C18),JOHN WICK 3: CHUAN BI CHIEN TRANH,"Action,Crime,Thriller"
10105052019B0147,emp011,2019-05-05 13:49:48,90000.0,0000000081,20073028,2019-05-05,14:00:00,F14,1,AVENGERS: HỒI KẾT,ĐƠN,Thành viên,45000,0,1999-11-08,Nam,Hải Châu,KH0104|0293,student,economics,19.0,AVENGERS: HOI KET,AVENGERS: HOI KET,"Action,Adventure,Drama,Sci-Fi"
10105052019B0147,emp011,2019-05-05 13:49:48,90000.0,0000000081,20073029,2019-05-05,14:00:00,F15,1,AVENGERS: HỒI KẾT,ĐƠN,Thành viên,45000,0,1999-11-08,Nam,Hải Châu,KH0104|0293,student,economics,19.0,AVENGERS: HOI KET,AVENGERS: HOI KET,"Action,Adventure,Drama,Sci-Fi"
